start,end,flow,travel_time
1,547,4989.130000000005,0.0
2,548,6719.410000000009,0.0
3,549,10095.530000000022,0.0
4,550,9444.620000000017,0.0
5,551,17223.819999999967,0.0
6,552,6446.0300000000125,0.0
7,553,9884.280000000004,0.0
8,554,9252.300000000014,0.0
9,555,6699.450000000012,0.0
10,556,13823.650000000009,0.0
11,557,10551.060000000018,0.0
12,558,6985.780000000009,0.0
13,559,9401.480000000014,0.0
14,560,14763.690000000019,0.0
15,561,8934.720000000007,0.0
16,562,10301.01000000001,0.0
17,563,9098.550000000014,0.0
18,564,9300.740000000016,0.0
19,565,2624.610000000005,0.0
20,566,7707.950000000004,0.0
21,567,4696.170000000004,0.0
22,568,3370.8200000000015,0.0
23,569,12667.830000000013,0.0
24,570,6010.920000000003,0.0
25,571,5993.210000000002,0.0
26,572,12936.830000000004,0.0
27,573,7749.490000000008,0.0
28,574,8700.360000000013,0.0
29,575,14581.240000000005,0.0
30,576,5416.969999999998,0.0
31,577,7838.860000000006,0.0
32,578,7900.650000000009,0.0
33,579,4727.4500000000035,0.0
34,580,6460.140000000006,0.0
35,581,5145.6100000000015,0.0
36,582,6100.870000000001,0.0
37,583,1148.8099999999988,0.0
38,584,2228.48,0.0
39,585,6737.860000000008,0.0
40,586,1866.659999999999,0.0
41,587,8069.740000000007,0.0
42,588,2120.7,0.0
43,589,5257.640000000003,0.0
44,590,7128.540000000006,0.0
45,591,6238.190000000007,0.0
46,592,6568.32000000001,0.0
47,593,2892.160000000004,0.0
48,594,4978.070000000003,0.0
49,595,3495.580000000001,0.0
50,596,4757.999999999998,0.0
51,597,1577.2999999999984,0.0
52,598,2041.2799999999988,0.0
53,599,4665.330000000008,0.0
54,600,1259.8699999999988,0.0
55,601,1778.4199999999983,0.0
56,602,4297.130000000004,0.0
57,603,1646.8499999999995,0.0
58,604,5962.500000000003,0.0
59,605,5225.800000000004,0.0
60,606,5148.460000000001,0.0
61,607,5264.460000000001,0.0
62,608,5472.5,0.0
63,609,3718.920000000002,0.0
64,610,9104.310000000012,0.0
65,611,3468.0900000000015,0.0
66,612,6193.350000000005,0.0
67,613,3858.59,0.0
68,614,6526.750000000013,0.0
69,615,6270.570000000008,0.0
70,616,4480.420000000004,0.0
71,617,3979.920000000002,0.0
72,618,7296.660000000007,0.0
73,619,7675.900000000008,0.0
74,620,2642.720000000003,0.0
75,621,2685.230000000003,0.0
76,622,5958.850000000004,0.0
77,623,7998.540000000006,0.0
78,624,6831.440000000011,0.0
79,625,3838.3300000000027,0.0
80,626,10315.780000000012,0.0
81,627,8352.05000000001,0.0
82,628,5765.209999999999,0.0
83,629,4294.910000000002,0.0
84,630,6438.080000000008,0.0
85,631,13283.460000000005,0.0
86,632,5293.370000000002,0.0
87,633,5977.540000000003,0.0
88,634,4579.16,0.0
89,635,2370.3900000000012,0.0
90,636,2212.5500000000015,0.0
91,637,7079.220000000009,0.0
92,638,1746.4999999999993,0.0
93,639,4363.860000000002,0.0
94,640,471.01999999999964,0.0
95,641,2752.810000000002,0.0
96,642,587.4099999999995,0.0
97,643,6304.830000000009,0.0
98,644,8436.92000000001,0.0
99,645,4527.160000000002,0.0
100,646,3592.6299999999997,0.0
101,647,3144.710000000001,0.0
102,648,3681.7200000000003,0.0
103,649,1743.1299999999997,0.0
104,650,3100.1800000000007,0.0
105,651,983.6299999999999,0.0
106,652,3859.910000000001,0.0
107,653,3630.9700000000034,0.0
108,654,3769.100000000001,0.0
109,655,3028.1000000000004,0.0
110,656,5660.6,0.0
111,657,5463.480000000001,0.0
112,658,3659.230000000001,0.0
113,659,3784.7300000000014,0.0
114,660,2147.4499999999985,0.0
115,661,4043.610000000003,0.0
116,662,2374.7100000000014,0.0
117,663,824.0799999999997,0.0
118,664,4286.069999999998,0.0
119,665,1278.8699999999997,0.0
120,666,1507.3699999999988,0.0
121,667,3785.8200000000006,0.0
122,668,1943.7299999999996,0.0
123,669,4281.930000000001,0.0
124,670,1800.8499999999997,0.0
125,671,2224.150000000001,0.0
126,672,507.2899999999996,0.0
127,673,2137.820000000001,0.0
128,674,864.1499999999997,0.0
129,675,3848.75,0.0
130,676,2993.4100000000008,0.0
131,677,5005.8,0.0
132,678,3968.5000000000014,0.0
133,679,5192.120000000001,0.0
134,680,3356.6499999999996,0.0
135,681,5479.75,0.0
136,682,6391.2200000000075,0.0
137,683,2348.4100000000017,0.0
138,684,1466.589999999999,0.0
139,685,1631.539999999999,0.0
140,686,1097.2299999999993,0.0
141,687,5293.4400000000005,0.0
142,688,5106.130000000001,0.0
143,689,4074.250000000001,0.0
144,690,3079.5600000000027,0.0
145,691,7191.340000000008,0.0
146,692,6930.2500000000055,0.0
147,693,6262.200000000003,0.0
148,694,6643.95000000001,0.0
149,695,4165.680000000001,0.0
150,696,1467.499999999999,0.0
151,697,1718.3299999999986,0.0
