start,end,flow,travel_time
1,870,0.0,1.3800000190735
1,854,0.0,0.78000001907349
2,934,0.0,1.3200000762939
2,938,13.999999999999996,0.42000002861023
2,893,0.0,0.42000002861023
3,911,0.0,2.0400001525879
3,909,2314.6153846153843,0.6
3,929,0.0,1.5000000953674
3,923,0.0,1.3200000762939
4,902,0.0,1.6800001144409
4,917,873.769230769231,0.54000000953674
4,920,1021.8461538461538,0.6
4,919,0.0,0.9
4,932,0.0,1.0800000190735
5,1029,99.92307692307692,0.84000005722046
5,1010,0.0,2.2800001144409
5,1009,570.0769230769231,0.6
6,1018,113.0,0.66000003814697
6,1008,0.0,1.6200000762939
6,992,37.00000000000001,0.42000002861023
7,972,170.23076923076928,0.72000002861023
7,970,714.1538461538462,0.96000003814697
7,973,602.1538461538461,0.9
7,971,147.69230769230774,0.78000001907349
7,974,336.2307692307692,1.0800000190735
8,996,156.4615384615385,0.54000000953674
8,1012,207.53846153846155,0.78000001907349
9,840,122.00000000000003,0.36000001430511
10,839,375.5384615384615,1.5200000762939
10,535,369.84615384615387,1.0400000254313
11,200,620.8461538461539,1.5600001017253
11,166,408.15384615384625,1.5600001017253
12,199,305.69230769230774,1.2
12,167,181.30769230769232,1.8800000508626
13,170,393.00000000000006,0.84000002543132
14,197,547.8461538461539,1.1200000762939
14,169,106.46153846153844,2.2800000508626
14,191,112.92307692307692,2.2800000508626
15,189,283.1538461538462,0.24000000953674
15,171,463.84615384615387,0.68000005086263
16,224,371.923076923077,1.3200000762939
16,195,842.0769230769231,1.8800000508626
17,173,837.6923076923077,2.4400001525879
17,187,391.3076923076923,2.4400001525879
18,174,1379.9999999999995,1.6800000508626
18,186,386.0,2.4400001525879
19,220,392.84615384615387,1.2800000508626
19,190,153.15384615384616,1.8800000508626
20,183,17.0,2.5200002034505
20,177,172.0,2.1600001017253
21,213,119.53846153846155,3.7600001017253
21,182,312.46153846153857,0.76000003814697
22,262,127.00000000000003,0.68000005086263
23,278,144.0,0.56000003814697
24,277,54.92307692307692,1.1200000762939
24,266,322.07692307692315,1.1200000762939
25,354,47.23076923076925,2.6400001525879
25,212,921.7692307692311,0.8
26,260,79.0,0.52000001271566
27,285,68.0,1.1200000762939
28,238,33.76923076923077,1.8800000508626
28,225,114.00000000000003,1.4800000508626
29,230,1451.461538461539,0.52000001271566
30,245,13.999999999999996,3.9200002034505
30,240,25.0,1.0400000254313
31,239,1504.461538461539,1.6400000254313
31,237,103.53846153846152,3.8000002543132
32,243,76.0,0.52000001271566
33,295,73.53846153846155,1.2
33,273,332.15384615384625,1.1200000762939
33,294,0.0,0.96000003814697
33,274,406.5384615384616,1.1200000762939
34,272,329.00000000000006,0.84000002543132
35,293,207.00000000000006,0.56000003814697
36,300,562.0000000000002,0.6
37,305,80.0,0.84000002543132
38,341,343.0769230769231,2.9600001017253
38,340,493.0,2.5600001017253
38,336,786.2307692307692,2.9600001017253
38,289,495.3076923076924,2.5600001017253
